iter	Passed	Remaining
0	3	952
1	5	888
2	8	857
3	11	881
4	14	862
5	17	865
6	20	866
7	23	865
8	26	854
9	29	845
10	32	847
11	34	839
12	38	844
13	41	838
14	44	837
15	46	832
16	49	828
17	53	832
18	55	827
19	59	829
20	61	822
21	64	819
22	67	815
23	70	814
24	73	811
25	76	806
26	79	806
27	82	804
28	85	802
29	88	798
30	91	797
31	94	792
32	97	791
33	100	787
34	103	782
35	106	779
36	108	774
37	112	774
38	115	770
39	117	766
40	120	762
41	123	759
42	126	757
43	129	754
44	132	752
45	135	747
46	138	745
47	141	742
48	144	740
49	147	737
50	150	733
51	153	731
52	156	727
53	159	725
54	162	722
55	165	720
56	168	716
57	171	714
58	174	711
59	176	707
60	179	704
61	182	701
62	186	700
63	188	696
64	191	693
65	194	690
66	197	687
67	200	685
68	203	681
69	206	679
70	209	676
71	212	673
72	215	669
73	218	666
74	221	663
75	223	659
76	227	657
77	230	654
78	233	652
79	235	648
80	238	645
81	241	642
82	244	639
83	247	636
84	250	633
85	254	632
86	256	629
87	260	628
88	263	624
89	267	623
90	269	619
91	272	617
92	276	614
93	279	612
94	282	609
95	285	606
96	288	603
97	291	601
98	294	598
99	297	595
100	301	593
101	304	590
102	307	588
103	310	584
104	313	582
105	316	579
106	319	577
107	323	574
108	325	571
109	329	568
110	331	565
111	335	562
112	338	559
113	341	557
114	344	554
115	348	552
116	350	548
117	354	546
118	357	543
119	360	540
120	363	537
121	366	534
122	369	531
123	372	528
124	375	525
125	378	522
126	381	520
127	384	517
128	388	515
129	391	511
130	395	509
131	397	506
132	401	503
133	404	500
134	407	498
135	410	494
136	413	492
137	416	489
138	419	486
139	423	483
140	426	480
141	429	477
142	432	474
143	435	472
144	438	469
145	442	466
146	445	463
147	448	460
148	451	457
149	454	454
150	457	451
151	460	448
152	464	445
153	467	442
154	470	439
155	473	436
156	476	434
157	479	431
158	483	428
159	485	425
160	489	422
161	491	419
162	495	416
163	498	413
164	501	410
165	504	407
166	507	404
167	510	401
168	513	398
169	517	395
170	520	392
171	523	389
172	526	386
173	529	383
174	532	380
175	535	377
176	538	374
177	541	371
178	544	368
179	547	365
180	550	362
181	553	359
182	557	356
183	560	353
184	563	350
185	566	347
186	569	344
187	572	341
188	575	338
189	578	335
190	581	331
191	584	328
192	587	325
193	591	322
194	593	319
195	597	316
196	600	313
197	603	310
198	606	307
199	609	304
200	612	301
201	615	298
202	618	295
203	620	292
204	624	289
205	627	286
206	631	283
207	634	280
208	637	277
209	640	274
210	644	271
211	647	268
212	650	265
213	653	262
214	656	259
215	659	256
216	662	253
217	665	250
218	668	247
219	672	244
220	674	241
221	678	238
222	680	235
223	684	232
224	686	228
225	690	225
226	693	222
227	696	219
228	699	216
229	702	213
230	705	210
231	707	207
232	711	204
233	714	201
234	717	198
235	720	195
236	723	192
237	726	189
238	729	186
239	732	183
240	735	180
241	738	177
242	741	173
243	745	171
244	748	167
245	751	164
246	754	161
247	757	158
248	760	155
249	763	152
250	767	149
251	770	146
252	773	143
253	776	140
254	779	137
255	782	134
256	785	131
257	788	128
258	791	125
259	794	122
260	798	119
261	801	116
262	804	113
263	807	110
264	810	107
265	813	104
266	816	100
267	819	97
268	822	94
269	826	91
270	829	88
271	832	85
272	835	82
273	838	79
274	841	76
275	844	73
276	847	70
277	851	67
278	853	64
279	856	61
280	860	58
281	863	55
282	866	52
283	869	48
284	872	45
285	875	42
286	879	39
287	882	36
288	885	33
289	888	30
290	892	27
291	895	24
292	898	21
293	901	18
294	904	15
295	907	12
296	910	9
297	914	6
298	916	3
299	920	0
